epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.751,1.14802,1.07966,1.04854,0.71332,0.5265,0.60429,0.37011,1.08426,0.77431,1.05382,0.000276924,0.000276924,0.000276924
2,500.84,1.08283,0.79207,1.03856,0.71659,0.53673,0.61171,0.38151,1.0545,0.74033,1.03966,0.000444782,0.000444782,0.000444782
3,750.852,1.04229,0.73443,1.02257,0.7135,0.624,0.69544,0.45498,0.98988,0.66783,1.01587,0.000502684,0.000502684,0.000502684
4,1000.45,0.9752,0.64889,0.9977,0.75809,0.7046,0.75718,0.51137,0.92156,0.58272,0.98476,0.000338198,0.000338198,0.000338198
5,1249.88,0.90939,0.57797,0.97175,0.79002,0.75298,0.81167,0.56653,0.86097,0.51291,0.96629,0.000173264,0.000173264,0.000173264
1,251.657,0.8752,0.55321,0.95704,0.82515,0.68733,0.7807,0.52272,0.91972,0.56682,0.99223,0.000276924,0.000276924,0.000276924
2,502.788,0.93397,0.61518,0.97944,0.85741,0.62135,0.75066,0.49441,0.95954,0.59636,1.00609,0.000527139,0.000527139,0.000527139
3,753.644,0.9643,0.64698,0.99553,0.78698,0.66028,0.73888,0.48986,0.96301,0.63478,1.01155,0.000749864,0.000749864,0.000749864
4,1004.32,0.96009,0.63806,0.99546,0.77222,0.65962,0.74905,0.49244,0.93533,0.58846,1.00151,0.000709299,0.000709299,0.000709299
5,1254.9,0.95094,0.6232,0.99058,0.81727,0.64926,0.76747,0.5176,0.91648,0.56796,0.99514,0.000668066,0.000668066,0.000668066
6,1505.42,0.93311,0.60283,0.98458,0.80698,0.72849,0.80285,0.54957,0.88954,0.55458,0.97867,0.000626832,0.000626832,0.000626832
7,1756.27,0.91001,0.57561,0.97143,0.78063,0.75857,0.81143,0.55774,0.87426,0.52877,0.97727,0.000585599,0.000585599,0.000585599
8,2006.92,0.89081,0.55446,0.96472,0.83596,0.75899,0.83236,0.57993,0.85468,0.50454,0.96922,0.000544365,0.000544365,0.000544365
9,2257.62,0.87036,0.53501,0.95519,0.83796,0.76108,0.83287,0.5805,0.84632,0.49967,0.96222,0.000503132,0.000503132,0.000503132
10,2508.22,0.84376,0.5166,0.94841,0.83077,0.78417,0.84346,0.59396,0.82656,0.48863,0.95481,0.000461898,0.000461898,0.000461898
11,2758.44,0.84359,0.5016,0.94578,0.86722,0.76729,0.8466,0.59847,0.81963,0.48452,0.95616,0.000420665,0.000420665,0.000420665
12,3008.25,0.82111,0.48438,0.93558,0.83141,0.78502,0.85147,0.59981,0.82204,0.48418,0.95752,0.000379431,0.000379431,0.000379431
13,3257.97,0.80411,0.46874,0.92855,0.85276,0.78574,0.85776,0.60734,0.80742,0.46996,0.95221,0.000338198,0.000338198,0.000338198
14,3507.6,0.77916,0.45004,0.92051,0.88563,0.81638,0.87635,0.63942,0.78345,0.4499,0.94064,0.000296964,0.000296964,0.000296964
15,3757.47,0.75896,0.43539,0.91474,0.87231,0.8098,0.87553,0.64691,0.76544,0.43678,0.93567,0.000255731,0.000255731,0.000255731
16,4007.52,0.73828,0.42136,0.90594,0.87139,0.82723,0.87951,0.65125,0.7601,0.43002,0.93375,0.000214497,0.000214497,0.000214497
17,4257.33,0.71585,0.40586,0.89847,0.86706,0.8487,0.88605,0.66962,0.7362,0.41706,0.92247,0.000173264,0.000173264,0.000173264
18,4507.19,0.69393,0.39341,0.88925,0.90142,0.82955,0.89458,0.67521,0.72017,0.40583,0.91885,0.000132031,0.000132031,0.000132031
